,model,device,task,sequence_length,latency,network_latency,compute_latency,api
41,distilbert-base-uncased-finetuned-sst-2-english,gpu,sequence-classification,512,0.35897815227508545,0.35088364567508545,0.008094506599999999,Hugging Face Infinity
42,bert-base-ner,cpu,token-classification,8,0.3629667520523071,0.3516471647523071,0.0113195873,Hugging Face Infinity
43,bert-base-ner,cpu,token-classification,16,0.3755418062210083,0.3571545727210083,0.0183872335,Hugging Face Infinity
44,bert-base-ner,cpu,token-classification,32,0.3890099287033081,0.35469581530330807,0.0343141134,Hugging Face Infinity
45,bert-base-ner,cpu,token-classification,64,0.5028207302093506,0.4394662799093506,0.0633544503,Hugging Face Infinity
46,bert-base-ner,cpu,token-classification,128,0.5814758777618408,0.43737324676184086,0.144102631,Hugging Face Infinity
47,bert-base-ner,cpu,token-classification,256,0.6212080955505371,0.43755204255053715,0.18365605299999999,Hugging Face Infinity
48,bert-base-ner,cpu,token-classification,512,0.6257067203521729,0.4390388443521729,0.186667876,Hugging Face Infinity
49,bert-base-ner,gpu,token-classification,8,0.35523109436035155,0.35244141256035155,0.0027896818,Hugging Face Infinity
50,bert-base-ner,gpu,token-classification,16,0.35598418712615965,0.3528724894261596,0.0031116977,Hugging Face Infinity
51,bert-base-ner,gpu,token-classification,32,0.3569225549697876,0.3534665657697876,0.0034559892,Hugging Face Infinity
52,bert-base-ner,gpu,token-classification,64,0.4427654504776001,0.4383496362776001,0.004415814200000001,Hugging Face Infinity
53,bert-base-ner,gpu,token-classification,128,0.4560677528381348,0.4481440988381348,0.007923653999999999,Hugging Face Infinity
54,bert-base-ner,gpu,token-classification,256,0.47458648681640625,0.46511047611640627,0.009476010700000002,Hugging Face Infinity
55,bert-base-ner,gpu,token-classification,512,0.4481208801269531,0.4369646984269531,0.0111561817,Hugging Face Infinity
56,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,8,0.3633882522583008,0.3526783675583008,0.0107098847,Hugging Face Infinity
57,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,16,0.3685556411743164,0.3516122847743164,0.0169433564,Hugging Face Infinity
58,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,32,0.3829883813858032,0.3522584084858032,0.030729972900000003,Hugging Face Infinity
59,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,64,0.4124822378158569,0.3531306141158569,0.05935162370000001,Hugging Face Infinity
60,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,128,0.48995146751403806,0.35089702651403804,0.13905444100000003,Hugging Face Infinity
61,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,256,0.5729204416275024,0.37343370762750244,0.199486734,Hugging Face Infinity
62,bert-base-multilingual-uncased-sentiment,cpu,sequence-classification,512,0.5564215660095215,0.3566818070095215,0.19973975900000002,Hugging Face Infinity
63,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,8,0.3631666898727417,0.3584028331727417,0.004763856700000001,Hugging Face Infinity
64,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,16,0.36035544872283937,0.35351422382283937,0.0068412249,Hugging Face Infinity
65,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,32,0.37027385234832766,0.35799205994832767,0.012281792400000002,Hugging Face Infinity
66,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,64,0.37843539714813235,0.35531619674813236,0.0231192004,Hugging Face Infinity
67,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,128,0.4124384880065918,0.3541609141065918,0.05827757390000001,Hugging Face Infinity
68,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,256,0.4343946218490601,0.3540781744490601,0.0803164474,Hugging Face Infinity
69,paraphrase-multilingual-minilm-l12-v2,cpu,embedding,512,0.43884356021881105,0.35706593671881104,0.08177762349999998,Hugging Face Infinity
