,default,quantized,optimized,infinity
accuracy,0.9105504587155964,0.9025229357798165,0.9105504587155964,0.9071100917431193
precision,0.8978260869565218,0.8893709327548807,0.8978260869565218,0.8937093275488069
recall,0.9301801801801802,0.9234234234234234,0.9301801801801802,0.9279279279279279
f1,0.9137168141592922,0.9060773480662984,0.9137168141592922,0.9104972375690608
